unique_student,clip_sequence,clip,AverageattemptCount,AveragebottomHint,AverageconsecutiveErrorsInRow,Averagecorrect,AverageendsWithAutoScaffolding,AverageendsWithScaffolding,AveragefrIsHelpRequest,AveragefrIsHelpRequestScaffolding,AveragefrPast5HelpRequest,AveragefrPast5WrongCount,AveragefrPast8HelpRequest,AveragefrPast8WrongCount,AveragefrTimeTakenOnScaffolding,AveragefrTotalSkillOpportunitiesScaffolding,AveragefrWorkingInSchool,AveragehelpAccessUnder10Sec,AveragehelpAccessUnder1Sec,AveragehelpAccessUnder2Sec,AveragehelpAccessUnder5Sec,AveragehelpOnFirstAttemptAndTimeLess2Sec,Averagehint,AveragehintCount,AveragehintTotal,Averageoriginal,Averagepast8BottomOut,AveragepercentCorrectPerSkill,AverageprevHintThisWrong,AverageresponseIsChosen,AverageresponseIsFillIn,Averagescaffold,AveragestlHintUsed,AveragesumHelp,AveragesumofRightPerSkill,AveragesumRight,AveragesumSameSkillWrongonFirstAttempt,AveragesumTime3SDWhen3RowRight,AveragesumTime5SDWhen5RowRight,AveragesumTimePerSkill,AveragetimeGreater10AndPrevActionWrong,AveragetimeGreater10SecAndNextActionRight,AveragetimeGreater10SecPrevActionHelpOrBug,AveragetimeGreater5Secprev2wrong,AveragetimeSinceSkill,AveragetimeTaken,AveragetotalFrAttempted,AveragetotalFrPastWrongCount,AveragetotalFrPercentPastWrong,AveragetotalFrSkillOpportunities,AveragetotalFrSkillOpportunitiesByScaffolding,AveragetotalFrTimeOnSkill,AveragetotalTimeByPercentCorrectForskill,MaxattemptCount,MaxbottomHint,MaxconsecutiveErrorsInRow,Maxcorrect,MaxendsWithAutoScaffolding,MaxendsWithScaffolding,MaxfrIsHelpRequest,MaxfrIsHelpRequestScaffolding,MaxfrPast5HelpRequest,MaxfrPast5WrongCount,MaxfrPast8HelpRequest,MaxfrPast8WrongCount,MaxfrTimeTakenOnScaffolding,MaxfrTotalSkillOpportunitiesScaffolding,MaxfrWorkingInSchool,MaxhelpAccessUnder10Sec,MaxhelpAccessUnder1Sec,MaxhelpAccessUnder2Sec,MaxhelpAccessUnder5Sec,MaxhelpOnFirstAttemptAndTimeLess2Sec,Maxhint,MaxhintCount,MaxhintTotal,Maxoriginal,Maxpast8BottomOut,MaxpercentCorrectPerSkill,MaxprevHintThisWrong,MaxresponseIsChosen,MaxresponseIsFillIn,Maxscaffold,MaxstlHintUsed,MaxsumHelp,MaxsumofRightPerSkill,MaxsumRight,MaxsumSameSkillWrongonFirstAttempt,MaxsumTime3SDWhen3RowRight,MaxsumTime5SDWhen5RowRight,MaxsumTimePerSkill,MaxtimeGreater10AndPrevActionWrong,MaxtimeGreater10SecAndNextActionRight,MaxtimeGreater10SecPrevActionHelpOrBug,MaxtimeGreater5Secprev2wrong,MaxtimeSinceSkill,MaxtimeTaken,MaxtotalFrAttempted,MaxtotalFrPastWrongCount,MaxtotalFrPercentPastWrong,MaxtotalFrSkillOpportunities,MaxtotalFrSkillOpportunitiesByScaffolding,MaxtotalFrTimeOnSkill,MaxtotalTimeByPercentCorrectForskill,MinattemptCount,MinbottomHint,MinconsecutiveErrorsInRow,Mincorrect,MinendsWithAutoScaffolding,MinendsWithScaffolding,MinfrIsHelpRequest,MinfrIsHelpRequestScaffolding,MinfrPast5HelpRequest,MinfrPast5WrongCount,MinfrPast8HelpRequest,MinfrPast8WrongCount,MinfrTimeTakenOnScaffolding,MinfrTotalSkillOpportunitiesScaffolding,MinfrWorkingInSchool,MinhelpAccessUnder10Sec,MinhelpAccessUnder1Sec,MinhelpAccessUnder2Sec,MinhelpAccessUnder5Sec,MinhelpOnFirstAttemptAndTimeLess2Sec,Minhint,MinhintCount,MinhintTotal,Minoriginal,Minpast8BottomOut,MinpercentCorrectPerSkill,MinprevHintThisWrong,MinresponseIsChosen,MinresponseIsFillIn,Minscaffold,MinstlHintUsed,MinsumHelp,MinsumofRightPerSkill,MinsumRight,MinsumSameSkillWrongonFirstAttempt,MinsumTime3SDWhen3RowRight,MinsumTime5SDWhen5RowRight,MinsumTimePerSkill,MintimeGreater10AndPrevActionWrong,MintimeGreater10SecAndNextActionRight,MintimeGreater10SecPrevActionHelpOrBug,MintimeGreater5Secprev2wrong,MintimeSinceSkill,MintimeTaken,MintotalFrAttempted,MintotalFrPastWrongCount,MintotalFrPercentPastWrong,MintotalFrSkillOpportunities,MintotalFrSkillOpportunitiesByScaffolding,MintotalFrTimeOnSkill,MintotalTimeByPercentCorrectForskill,SumattemptCount,SumbottomHint,SumconsecutiveErrorsInRow,Sumcorrect,SumendsWithAutoScaffolding,SumendsWithScaffolding,SumfrIsHelpRequest,SumfrIsHelpRequestScaffolding,SumfrPast5HelpRequest,SumfrPast5WrongCount,SumfrPast8HelpRequest,SumfrPast8WrongCount,SumfrTimeTakenOnScaffolding,SumfrTotalSkillOpportunitiesScaffolding,SumfrWorkingInSchool,SumhelpAccessUnder10Sec,SumhelpAccessUnder1Sec,SumhelpAccessUnder2Sec,SumhelpAccessUnder5Sec,SumhelpOnFirstAttemptAndTimeLess2Sec,Sumhint,SumhintCount,SumhintTotal,Sumoriginal,Sumpast8BottomOut,SumpercentCorrectPerSkill,SumprevHintThisWrong,SumresponseIsChosen,SumresponseIsFillIn,Sumscaffold,SumstlHintUsed,SumsumHelp,SumsumofRightPerSkill,SumsumRight,SumsumSameSkillWrongonFirstAttempt,SumsumTime3SDWhen3RowRight,SumsumTime5SDWhen5RowRight,SumsumTimePerSkill,SumtimeGreater10AndPrevActionWrong,SumtimeGreater10SecAndNextActionRight,SumtimeGreater10SecPrevActionHelpOrBug,SumtimeGreater5Secprev2wrong,SumtimeSinceSkill,SumtimeTaken,SumtotalFrAttempted,SumtotalFrPastWrongCount,SumtotalFrPercentPastWrong,SumtotalFrSkillOpportunities,SumtotalFrSkillOpportunitiesByScaffolding,SumtotalFrTimeOnSkill,SumtotalTimeByPercentCorrectForskill,Confused,Concentrating,Bored,Frustrated
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,1,3,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.833333334,0,1,0,0,0,0,1.5,3.5,0,0,0,244.6695,0,0.833333333,0,0,0,95.873,1.333333333,0.5,0,0.5,0,94.237,319.88575,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,6,0,0,0,300.865,0,1,0,0,0,188.474,2,1,0,1,0,188.474,451.2975,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,1,0,0,0,0,1,1,0,0,0,188.474,0,0,0,0,0,3.272,0,0,0,0,0,0,188.474,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.000000001,0,6,0,0,0,0,9,21,0,0,0,1468.017,0,5,0,0,0,575.238,8,3,0,3,0,565.422,1919.3145,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,53,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,0,55.143,0,0,0,0,0,55.143,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,0,55.143,0,0,0,0,0,55.143,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,0,55.143,0,0,0,0,0,55.143,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,15,0,0,0,55.143,0,0,0,0,0,55.143,5,0,0,0,0,0,0,0,0,1,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,58,1.333333333,0,1,0.333333333,0.666666667,0,0,0,0.666666667,0,0.666666667,0,2.645333333,1.166666667,0,0,0,0,0,0,0,0,0,0.666666667,0,0.530092593,0,0.166666667,0.833333333,0.333333333,0,0,3.166666667,19.83333333,0,0.837902541,1.885280718,234.3286667,0,0,0,0,0,3.912666667,11,0.666666667,0,1.833333333,0.333333333,41.46566667,359.8125667,2,0,3,1,1,0,0,0,1,0,1,0,9.302,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,5,20,0,3.770561436,11.31168431,621.995,0,0,0,0,0,9.302,12,2,0,4,1,55.143,1119.591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17.396,0,0,0,0,0,0.001,9,0,0,1,0,10.826,0,8,0,6,2,4,0,0,0,4,0,4,0,15.872,7,0,0,0,0,0,0,0,0,0,4,0,3.180555556,0,1,5,2,0,0,19,119,0,5.027415248,11.31168431,1405.972,0,0,0,0,0,23.476,66,4,0,11,2,248.794,2158.8754,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,63,1.428571429,0,0.571428571,0.571428571,0.285714286,0,0,0,0.571428571,0.571428571,0.571428571,0.571428571,2.014,3.857142857,0,0,0,0,0,0,0,0,0,0.571428571,0,0.617965368,0,0.142857143,0.857142857,0.285714286,0,0,6,25.71428571,0,-0.160327637,0,222.4442857,0,0,0,0,0,3.911428571,17.28571429,1.285714286,0.11904762,5.142857143,0.428571429,55.61457086,455.0448539,2,0,3,1,1,0,0,0,1,1,1,1,5.464,10,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,10,27,0,0.416371872,0,634.934,0,0,0,0,0,8.508,19,3,0.5,9,1,67.452,1269.868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,1,24,0,-1.53866533,0,46.56,0,0,0,0,0,0.001,15,0,0,2,0,43.39,46.56,10,0,4,4,2,0,0,0,4,4,4,4,14.098,27,0,0,0,0,0,0,0,0,0,4,0,4.325757576,0,1,6,2,0,0,42,180,0,-1.122293458,0,1557.11,0,0,0,0,0,27.38,121,9,0.83333334,36,3,389.301996,3185.313977,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,68,1.333333333,0,0,0.666666667,0,0,0,0,0,1,0,1,6.416333333,14,0,0,0,0,0,0,0,0,0,0,0,0.896895425,0,0.333333333,0.666666667,0,0,0,14.33333333,31.33333333,0,2.764003303,0,98.492,0,0,0,0,0,4.827333333,23,1.333333333,0.073260077,13.66666667,1,89.77166667,110.0108444,2,0,0,1,0,0,0,0,0,1,0,1,6.495,15,0,0,0,0,0,0,0,0,0,0,0,0.933333333,0,1,1,0,0,0,15,32,0,8.29200991,0,101.809,0,0,0,0,0,6.495,24,2,0.07692308,14,1,91.858,115.3835333,1,0,0,0,0,0,0,0,0,1,0,1,6.259,13,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,14,31,0,0,0,93.586,0,0,0,0,0,1.728,22,1,0.071428575,13,1,85.599,100.2707143,4,0,0,2,0,0,0,0,0,3,0,3,19.249,42,0,0,0,0,0,0,0,0,0,0,0,2.690686274,0,1,2,0,0,0,43,94,0,8.29200991,0,295.476,0,0,0,0,0,14.482,69,4,0.21978023,41,3,269.315,330.0325333,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,41,0,0.018444417,-0.222277985,32.018,0,1,0,0,0,7.024,29,0,0,2,0,24.994,32.018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,41,0,0.018444417,0,32.018,0,1,0,0,0,7.024,29,0,0,2,0,24.994,32.018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,41,0,0.018444417,-0.222277985,32.018,0,1,0,0,0,7.024,29,0,0,2,0,24.994,32.018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,41,0,0.018444417,-0.222277985,32.018,0,1,0,0,0,7.024,29,0,0,2,0,24.994,32.018,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100909,2,83,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,44,0,0,0.025822184,37.663,0,1,0,0,0,13.968,32,0,0,2,0,23.695,37.663,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,44,0,0,0.025822184,37.663,0,1,0,0,0,13.968,32,0,0,2,0,23.695,37.663,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,44,0,0,0.025822184,37.663,0,1,0,0,0,13.968,32,0,0,2,0,23.695,37.663,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,44,0,0,0.025822184,37.663,0,1,0,0,0,13.968,32,0,0,2,0,23.695,37.663,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100910,3,7,1,0,0,1,0,0,0,0,0,0,0,0,4.405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,35,0,0,0,4.405,0,1,0,0,0,4.405,25,0,0,0,0,0,4.405,1,0,0,1,0,0,0,0,0,0,0,0,4.405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,35,0,0,0,4.405,0,1,0,0,0,4.405,25,0,0,0,0,0,4.405,1,0,0,1,0,0,0,0,0,0,0,0,4.405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,35,0,0,0,4.405,0,1,0,0,0,4.405,25,0,0,0,0,0,4.405,1,0,0,1,0,0,0,0,0,0,0,0,4.405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,35,0,0,0,4.405,0,1,0,0,0,4.405,25,0,0,0,0,0,4.405,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100910,3,22,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,1,1,0,0,2,37,0,0,0,96.229,0,0,0,0,0,0.002,30,2,0.33333334,3,0,56.488,288.687,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,1,1,0,0,2,37,0,0,0,96.229,0,0,0,0,0,0.002,30,2,0.33333334,3,0,56.488,288.687,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,1,1,0,0,2,37,0,0,0,96.229,0,0,0,0,0,0.002,30,2,0.33333334,3,0,56.488,288.687,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,1,1,0,0,2,37,0,0,0,96.229,0,0,0,0,0,0.002,30,2,0.33333334,3,0,56.488,288.687,0,1,0,0
jacln-m_assistments-lindsey_12_45-05.22.2012_at_13:12:34-1337706754000-100910,3,27,1,0,1,0,0.5,0,0,0,0,1.5,0,1.5,3.078,1,0,0,0,0,0,0,0,0,0,0.5,0,0.342857143,0,0,1,0,0,0,2,37,0,0,0,99.306,0,0,0,0.5,0,22.9465,29.5,1.5,0.41666667,3.5,1,76.3565,299.4575,1,0,2,0,1,0,0,0,0,2,0,2,6.156,2,0,0,0,0,0,0,0,0,0,1,0,0.4,0,0,1,0,0,0,2,37,0,0,0,102.385,0,0,0,1,0,39.737,30,2,0.5,4,2,96.225,358.3475,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,1,0,0,0,2,37,0,0,0,96.227,0,0,0,0,0,6.156,29,1,0.33333334,3,0,56.488,240.5675,2,0,2,0,1,0,0,0,0,3,0,3,6.156,2,0,0,0,0,0,0,0,0,0,1,0,0.685714286,0,0,2,0,0,0,4,74,0,0,0,198.612,0,0,0,1,0,45.893,59,3,0.83333334,7,2,152.713,598.915,0,1,0,0
