Unique ID,Human Label,Confused,Concentrating,Bored,Frustrated
1,Confused,0.556,0.423,0.19,0.411
2,Confused,0.239,0.392,0.503,0.179
3,Concentrating,0.018,0.859,0.146,0.019
4,Concentrating,0.031,0.936,0.048,0.023
5,Concentrating,0.063,0.89,0.078,0.04
6,Concentrating,0.02,0.965,0.023,0.017
7,Concentrating,0.244,0.766,0.042,0.21
8,Concentrating,0.007,0.991,0.006,0.003
9,Concentrating,0.114,0.741,0.224,0.05
10,Concentrating,0.087,0.896,0.04,0.073
11,Bored,0.062,0.658,0.348,0.043
12,Concentrating,0.004,0.989,0.01,0.003
13,Concentrating,0.077,0.925,0.028,0.044
14,Bored,0.028,0.782,0.234,0.016
15,Concentrating,0.006,0.978,0.021,0.004
16,Concentrating,0.007,0.944,0.06,0.004
17,Concentrating,0.012,0.97,0.026,0.006
18,Bored,0.064,0.219,0.869,0.032
19,Concentrating,0.001,0.998,0.001,0.001
20,Concentrating,0.087,0.915,0.036,0.043
21,Concentrating,0.279,0.668,0.208,0.105
22,Bored,0.191,0.766,0.14,0.088
23,Bored,0.183,0.667,0.248,0.107
24,Bored,0.081,0.796,0.188,0.028
25,Concentrating,0.219,0.688,0.189,0.138
26,Frustrated,0.023,0.908,0.088,0.016
27,Concentrating,0.041,0.874,0.114,0.027
28,Concentrating,0.057,0.893,0.081,0.033
29,Concentrating,0.133,0.715,0.207,0.115
30,Concentrating,0.026,0.969,0.015,0.018
31,Concentrating,0.02,0.976,0.015,0.008
32,Concentrating,0.041,0.746,0.265,0.025
33,Bored,0.034,0.652,0.381,0.021
34,Confused,0.422,0.464,0.331,0.196
35,Concentrating,0.412,0.406,0.349,0.284
36,Concentrating,0.116,0.76,0.186,0.076
37,Concentrating,0.099,0.892,0.052,0.053
38,Concentrating,0.002,0.996,0.003,0.001
39,Concentrating,0.004,0.988,0.011,0.002
40,Concentrating,0.04,0.862,0.13,0.026
41,Concentrating,0.011,0.988,0.004,0.007
42,Concentrating,0.006,0.987,0.01,0.004
43,Concentrating,0.006,0.983,0.016,0.003
44,Concentrating,0.039,0.889,0.102,0.019
45,Concentrating,0.069,0.934,0.019,0.047
46,Bored,0.041,0.583,0.455,0.027
47,Concentrating,0.015,0.984,0.006,0.009
48,Concentrating,0.002,0.998,0.001,0.001
49,Concentrating,0.04,0.962,0.012,0.026
50,Concentrating,0.004,0.989,0.01,0.002
51,Concentrating,0.081,0.905,0.051,0.042
52,Bored,0.162,0.141,0.889,0.082
53,Concentrating,0.023,0.97,0.017,0.015
54,Concentrating,0.103,0.905,0.028,0.065
55,Confused,0.314,0.365,0.519,0.152
56,Concentrating,0.017,0.959,0.033,0.012
57,Frustrated,0.285,0.356,0.499,0.22
58,Concentrating,0.04,0.816,0.178,0.034
59,Concentrating,0.007,0.991,0.004,0.005
60,Concentrating,0.005,0.988,0.011,0.003
61,Concentrating,0.09,0.77,0.196,0.059
62,Bored,0.208,0.66,0.217,0.152
63,Concentrating,0.265,0.647,0.212,0.148
64,Concentrating,0.001,0.998,0.001,0.001
65,Concentrating,0.021,0.978,0.012,0.009
66,Concentrating,0.03,0.954,0.031,0.016
67,Concentrating,0.03,0.775,0.236,0.024
68,Concentrating,0.117,0.644,0.319,0.08
69,Concentrating,0.126,0.541,0.447,0.063
70,Concentrating,0.026,0.787,0.226,0.022
71,Concentrating,0.328,0.715,0.09,0.174
72,Concentrating,0.034,0.963,0.015,0.022
73,Concentrating,0.062,0.392,0.655,0.051
74,Bored,0.121,0.59,0.38,0.081
75,Concentrating,0.024,0.735,0.291,0.016
76,Frustrated,0.257,0.707,0.13,0.171
77,Concentrating,0.133,0.871,0.055,0.066
78,Concentrating,0.224,0.769,0.106,0.115
79,Concentrating,0.074,0.828,0.147,0.039
80,Bored,0.229,0.58,0.313,0.136
81,Bored,0.129,0.573,0.406,0.066
82,Confused,0.132,0.832,0.094,0.076
83,Concentrating,0.096,0.815,0.154,0.037
84,Concentrating,0.016,0.987,0.004,0.008
85,Concentrating,0.066,0.857,0.119,0.034
86,Bored,0.175,0.554,0.359,0.147
87,Concentrating,0.05,0.918,0.054,0.034
88,Concentrating,0.112,0.902,0.024,0.071
89,Concentrating,0.045,0.691,0.325,0.03
90,Concentrating,0.003,0.996,0.002,0.001
91,Concentrating,0.009,0.988,0.008,0.004
92,Concentrating,0.01,0.987,0.007,0.006
93,Concentrating,0.026,0.974,0.008,0.019
94,Bored,0.049,0.711,0.301,0.028
95,Confused,0.122,0.899,0.034,0.054
96,Concentrating,0.002,0.998,0.002,0.001
97,Bored,0.181,0.218,0.78,0.099
98,Concentrating,0.001,0.998,0.001,0.001
99,Concentrating,0.015,0.976,0.015,0.011
100,Concentrating,0.005,0.99,0.008,0.003
101,Concentrating,0.005,0.996,0.001,0.002
102,Concentrating,0.014,0.987,0.006,0.006
103,Concentrating,0.152,0.561,0.39,0.101
104,Frustrated,0.314,0.43,0.427,0.178
105,Concentrating,0.014,0.974,0.018,0.01
106,Concentrating,0.063,0.912,0.05,0.044
107,Frustrated,0.289,0.357,0.539,0.152
108,Concentrating,0.147,0.475,0.494,0.096
109,Concentrating,0.041,0.935,0.044,0.025
110,Concentrating,0.046,0.926,0.051,0.025
111,Frustrated,0.265,0.266,0.633,0.19
112,Concentrating,0.011,0.988,0.005,0.007
113,Concentrating,0.441,0.489,0.104,0.501
114,Concentrating,0.442,0.502,0.261,0.224
115,Concentrating,0.028,0.699,0.327,0.023
116,Concentrating,0.168,0.797,0.119,0.078
117,Concentrating,0.011,0.967,0.029,0.009
118,Concentrating,0.034,0.944,0.038,0.022
119,Concentrating,0.094,0.92,0.021,0.055
120,Concentrating,0.025,0.965,0.019,0.018
121,Concentrating,0.065,0.934,0.014,0.059
122,Concentrating,0.008,0.981,0.016,0.004
123,Concentrating,0.159,0.823,0.041,0.162
124,Concentrating,0.038,0.54,0.509,0.024
125,Concentrating,0.04,0.952,0.031,0.014
126,Concentrating,0.025,0.972,0.011,0.019
127,Bored,0.036,0.695,0.33,0.021
128,Confused,0.271,0.569,0.281,0.18
129,Concentrating,0.021,0.982,0.005,0.011
130,Concentrating,0.146,0.846,0.068,0.083
131,Concentrating,0.014,0.962,0.033,0.008
132,Concentrating,0.022,0.921,0.071,0.02
133,Concentrating,0.004,0.982,0.018,0.003
134,Bored,0.039,0.472,0.587,0.026
135,Bored,0.29,0.368,0.51,0.176
136,Concentrating,0.22,0.695,0.073,0.311
137,Concentrating,0.096,0.89,0.036,0.085
138,Bored,0.172,0.147,0.858,0.113
139,Concentrating,0.053,0.949,0.01,0.044
140,Concentrating,0.044,0.94,0.034,0.029
141,Concentrating,0.042,0.849,0.146,0.021
142,Concentrating,0.066,0.889,0.082,0.033
143,Concentrating,0.005,0.99,0.008,0.003
144,Confused,0.455,0.305,0.401,0.36
145,Concentrating,0.042,0.66,0.358,0.036
146,Concentrating,0.066,0.91,0.05,0.045
147,Concentrating,0.008,0.988,0.007,0.006
148,Bored,0.061,0.435,0.611,0.041
149,Concentrating,0.079,0.916,0.038,0.043
150,Concentrating,0.313,0.609,0.236,0.149
151,Concentrating,0.262,0.673,0.213,0.098
152,Concentrating,0.076,0.858,0.092,0.07
153,Bored,0.195,0.603,0.311,0.117
154,Concentrating,0.128,0.5,0.46,0.118
155,Concentrating,0.261,0.583,0.259,0.196
156,Bored,0.024,0.841,0.165,0.018
157,Concentrating,0.111,0.789,0.159,0.068
158,Concentrating,0.242,0.749,0.127,0.106
159,Concentrating,0.048,0.853,0.137,0.023
160,Concentrating,0.005,0.991,0.007,0.002
161,Concentrating,0.0,0.999,0.0,0.0
162,Concentrating,0.004,0.99,0.008,0.002
163,Concentrating,0.234,0.647,0.239,0.124
164,Concentrating,0.272,0.575,0.294,0.146
165,Concentrating,0.203,0.803,0.066,0.129
166,Concentrating,0.037,0.854,0.143,0.021
167,Concentrating,0.006,0.987,0.011,0.005
168,Concentrating,0.054,0.915,0.057,0.033
169,Confused,0.561,0.204,0.476,0.36
170,Concentrating,0.03,0.926,0.066,0.014
171,Bored,0.061,0.472,0.562,0.051
172,Concentrating,0.013,0.986,0.006,0.007
173,Concentrating,0.022,0.977,0.004,0.023
174,Concentrating,0.124,0.796,0.126,0.098
175,Concentrating,0.141,0.831,0.095,0.072
176,Bored,0.316,0.162,0.66,0.308
177,Concentrating,0.199,0.555,0.339,0.16
178,Bored,0.156,0.147,0.871,0.103
179,Concentrating,0.01,0.987,0.008,0.006
180,Concentrating,0.038,0.722,0.29,0.032
181,Concentrating,0.007,0.985,0.012,0.005
182,Concentrating,0.056,0.789,0.206,0.029
183,Bored,0.066,0.636,0.378,0.034
184,Concentrating,0.07,0.921,0.036,0.045
185,Concentrating,0.068,0.765,0.224,0.038
186,Concentrating,0.021,0.945,0.044,0.019
187,Concentrating,0.011,0.971,0.024,0.008
188,Concentrating,0.028,0.977,0.005,0.016
189,Bored,0.148,0.121,0.924,0.073
190,Concentrating,0.023,0.86,0.144,0.018
191,Concentrating,0.001,0.998,0.002,0.001
192,Concentrating,0.258,0.707,0.12,0.186
193,Concentrating,0.009,0.989,0.005,0.007
194,Concentrating,0.236,0.568,0.277,0.212
195,Bored,0.281,0.341,0.56,0.154
196,Concentrating,0.002,0.996,0.003,0.001
197,Bored,0.224,0.76,0.12,0.109
198,Confused,0.439,0.457,0.351,0.166
199,Concentrating,0.064,0.737,0.25,0.05
200,Concentrating,0.065,0.933,0.025,0.041
201,Concentrating,0.089,0.909,0.031,0.062
202,Bored,0.314,0.448,0.384,0.212
203,Concentrating,0.005,0.993,0.005,0.003
204,Concentrating,0.005,0.994,0.004,0.002
205,Concentrating,0.023,0.967,0.023,0.011
206,Concentrating,0.029,0.729,0.293,0.021
207,Concentrating,0.019,0.941,0.054,0.012
208,Concentrating,0.027,0.822,0.181,0.027
209,Concentrating,0.128,0.837,0.08,0.094
210,Bored,0.215,0.261,0.701,0.122
211,Concentrating,0.016,0.985,0.006,0.008
212,Bored,0.041,0.537,0.508,0.03
213,Concentrating,0.11,0.898,0.038,0.058
214,Concentrating,0.014,0.984,0.009,0.008
215,Concentrating,0.012,0.983,0.01,0.008
216,Concentrating,0.029,0.973,0.011,0.014
217,Concentrating,0.048,0.498,0.555,0.022
218,Concentrating,0.028,0.967,0.018,0.013
219,Bored,0.261,0.107,0.849,0.144
220,Concentrating,0.025,0.842,0.161,0.022
221,Concentrating,0.354,0.545,0.214,0.278
222,Concentrating,0.031,0.971,0.01,0.019
223,Concentrating,0.004,0.996,0.002,0.003
224,Concentrating,0.004,0.997,0.001,0.002
225,Concentrating,0.006,0.987,0.01,0.004
226,Bored,0.237,0.338,0.595,0.132
227,Concentrating,0.012,0.982,0.011,0.007
228,Concentrating,0.235,0.783,0.089,0.109
229,Bored,0.034,0.964,0.017,0.018
230,Concentrating,0.219,0.782,0.09,0.119
231,Concentrating,0.043,0.854,0.134,0.031
232,Concentrating,0.049,0.758,0.228,0.057
233,Bored,0.422,0.367,0.442,0.2
234,Concentrating,0.039,0.955,0.023,0.022
235,Concentrating,0.269,0.701,0.141,0.157
236,Frustrated,0.48,0.181,0.525,0.379
237,Concentrating,0.002,0.997,0.002,0.001
238,Concentrating,0.078,0.894,0.064,0.045
239,Bored,0.078,0.871,0.082,0.059
240,Concentrating,0.06,0.924,0.039,0.04
241,Concentrating,0.084,0.448,0.571,0.066
242,Concentrating,0.003,0.994,0.004,0.002
243,Confused,0.079,0.907,0.059,0.027
244,Concentrating,0.29,0.493,0.332,0.227
245,Concentrating,0.089,0.598,0.404,0.048
246,Concentrating,0.028,0.929,0.059,0.019
247,Concentrating,0.02,0.974,0.015,0.011
248,Concentrating,0.005,0.982,0.016,0.003
249,Concentrating,0.033,0.957,0.022,0.023
250,Confused,0.098,0.788,0.183,0.04
251,Concentrating,0.008,0.965,0.037,0.002
252,Concentrating,0.052,0.906,0.058,0.049
253,Concentrating,0.044,0.958,0.012,0.031
254,Bored,0.592,0.27,0.4,0.337
255,Concentrating,0.012,0.985,0.007,0.01
256,Concentrating,0.012,0.956,0.04,0.01
257,Bored,0.036,0.761,0.251,0.023
258,Concentrating,0.689,0.272,0.258,0.496
259,Bored,0.626,0.088,0.419,0.626
260,Frustrated,0.543,0.291,0.177,0.69
261,Concentrating,0.217,0.624,0.272,0.127
262,Frustrated,0.402,0.409,0.346,0.288
263,Concentrating,0.003,0.991,0.008,0.002
264,Concentrating,0.004,0.988,0.01,0.003
265,Bored,0.102,0.679,0.279,0.089
266,Concentrating,0.008,0.98,0.016,0.006
267,Bored,0.039,0.629,0.401,0.028
268,Concentrating,0.033,0.97,0.011,0.018
269,Concentrating,0.03,0.939,0.047,0.019
270,Concentrating,0.019,0.978,0.013,0.009
271,Concentrating,0.006,0.993,0.003,0.003
272,Concentrating,0.288,0.59,0.253,0.175
273,Concentrating,0.024,0.978,0.005,0.017
274,Concentrating,0.007,0.995,0.001,0.004
275,Concentrating,0.004,0.997,0.001,0.002
276,Concentrating,0.005,0.996,0.001,0.002
277,Concentrating,0.034,0.973,0.007,0.017
278,Concentrating,0.044,0.967,0.006,0.023
279,Concentrating,0.062,0.891,0.084,0.028
280,Concentrating,0.049,0.935,0.039,0.028
281,Bored,0.272,0.11,0.775,0.249
282,Bored,0.22,0.467,0.433,0.163
283,Frustrated,0.528,0.098,0.33,0.818
284,Concentrating,0.017,0.983,0.007,0.01
285,Concentrating,0.284,0.756,0.073,0.153
286,Concentrating,0.037,0.68,0.343,0.027
287,Bored,0.065,0.883,0.075,0.056
288,Concentrating,0.018,0.965,0.028,0.009
289,Concentrating,0.016,0.969,0.023,0.01
290,Concentrating,0.032,0.735,0.286,0.019
291,Concentrating,0.038,0.854,0.142,0.021
292,Concentrating,0.036,0.905,0.085,0.019
293,Concentrating,0.019,0.947,0.05,0.008
294,Concentrating,0.009,0.978,0.019,0.004
295,Concentrating,0.038,0.943,0.042,0.013
296,Concentrating,0.066,0.638,0.354,0.069
297,Concentrating,0.034,0.821,0.185,0.017
298,Concentrating,0.003,0.993,0.005,0.002
299,Bored,0.382,0.366,0.397,0.302
300,Bored,0.222,0.38,0.57,0.102
301,Confused,0.32,0.696,0.118,0.17
302,Concentrating,0.004,0.994,0.004,0.003
303,Concentrating,0.074,0.918,0.036,0.046
304,Concentrating,0.185,0.841,0.041,0.11
305,Concentrating,0.169,0.747,0.136,0.146
306,Bored,0.11,0.665,0.278,0.111
307,Concentrating,0.003,0.992,0.006,0.002
308,Concentrating,0.138,0.692,0.255,0.077
309,Concentrating,0.245,0.75,0.08,0.179
310,Bored,0.055,0.671,0.343,0.032
311,Concentrating,0.037,0.773,0.228,0.037
312,Concentrating,0.006,0.991,0.006,0.003
313,Concentrating,0.107,0.6,0.387,0.06
314,Concentrating,0.013,0.926,0.075,0.01
315,Bored,0.045,0.86,0.13,0.025
316,Bored,0.241,0.154,0.783,0.174
317,Concentrating,0.049,0.95,0.011,0.044
318,Concentrating,0.001,0.998,0.001,0.001
319,Concentrating,0.017,0.983,0.004,0.013
320,Concentrating,0.087,0.889,0.073,0.034
321,Concentrating,0.012,0.961,0.036,0.006
322,Confused,0.412,0.536,0.247,0.202
323,Concentrating,0.282,0.692,0.157,0.14
324,Concentrating,0.027,0.973,0.014,0.011
325,Concentrating,0.015,0.958,0.038,0.008
326,Concentrating,0.005,0.994,0.002,0.004
327,Concentrating,0.163,0.775,0.12,0.122
328,Confused,0.098,0.9,0.05,0.041
329,Concentrating,0.075,0.722,0.27,0.04
330,Concentrating,0.063,0.825,0.159,0.032
331,Concentrating,0.029,0.972,0.011,0.015
332,Concentrating,0.328,0.596,0.142,0.314
333,Concentrating,0.002,0.997,0.002,0.001
334,Concentrating,0.199,0.718,0.179,0.11
335,Concentrating,0.057,0.798,0.19,0.037
336,Concentrating,0.006,0.989,0.007,0.004
337,Frustrated,0.013,0.98,0.01,0.014
338,Bored,0.016,0.933,0.065,0.01
339,Concentrating,0.028,0.924,0.068,0.015
340,Concentrating,0.12,0.767,0.188,0.056
341,Bored,0.298,0.444,0.441,0.139
342,Confused,0.651,0.149,0.547,0.288
343,Bored,0.798,0.085,0.469,0.437
344,Concentrating,0.002,0.995,0.004,0.001
345,Concentrating,0.159,0.84,0.073,0.079
346,Concentrating,0.102,0.905,0.043,0.042
347,Concentrating,0.01,0.983,0.012,0.007
348,Concentrating,0.19,0.633,0.275,0.122
349,Confused,0.161,0.478,0.502,0.069
350,Concentrating,0.039,0.965,0.011,0.022
351,Concentrating,0.001,0.998,0.001,0.001
352,Confused,0.187,0.195,0.794,0.116
353,Confused,0.355,0.423,0.389,0.224
354,Concentrating,0.031,0.882,0.113,0.02
355,Bored,0.494,0.424,0.253,0.35
356,Frustrated,0.04,0.903,0.079,0.029
357,Concentrating,0.193,0.753,0.161,0.078
358,Concentrating,0.002,0.998,0.001,0.001
359,Concentrating,0.11,0.669,0.31,0.052
360,Concentrating,0.307,0.42,0.472,0.127
361,Frustrated,0.375,0.588,0.172,0.25
362,Concentrating,0.154,0.662,0.26,0.115
363,Frustrated,0.089,0.811,0.143,0.068
364,Concentrating,0.085,0.88,0.07,0.056
365,Concentrating,0.056,0.871,0.11,0.029
366,Concentrating,0.072,0.848,0.085,0.103
367,Concentrating,0.004,0.992,0.007,0.002
368,Concentrating,0.002,0.997,0.002,0.001
369,Concentrating,0.002,0.998,0.001,0.001
370,Bored,0.032,0.765,0.25,0.02
371,Concentrating,0.458,0.503,0.183,0.336
372,Concentrating,0.004,0.995,0.003,0.002
373,Concentrating,0.01,0.975,0.021,0.007
374,Concentrating,0.008,0.978,0.019,0.006
375,Bored,0.061,0.694,0.305,0.045
376,Bored,0.194,0.308,0.661,0.111
377,Concentrating,0.171,0.607,0.25,0.224
378,Concentrating,0.096,0.914,0.019,0.069
379,Concentrating,0.014,0.984,0.006,0.011
380,Concentrating,0.022,0.975,0.007,0.022
381,Concentrating,0.076,0.739,0.252,0.036
382,Concentrating,0.034,0.733,0.284,0.024
383,Concentrating,0.058,0.9,0.065,0.044
384,Concentrating,0.061,0.776,0.21,0.046
385,Concentrating,0.026,0.787,0.228,0.018
386,Bored,0.257,0.631,0.211,0.184
387,Bored,0.092,0.767,0.191,0.071
388,Concentrating,0.189,0.695,0.19,0.144
389,Concentrating,0.024,0.968,0.019,0.014
390,Confused,0.313,0.456,0.403,0.168
391,Confused,0.524,0.451,0.21,0.348
392,Concentrating,0.234,0.68,0.188,0.144
393,Concentrating,0.03,0.719,0.305,0.02
394,Concentrating,0.006,0.984,0.014,0.004
395,Bored,0.106,0.703,0.275,0.047
396,Concentrating,0.01,0.985,0.009,0.008
397,Frustrated,0.363,0.178,0.626,0.3
398,Bored,0.026,0.86,0.144,0.015
399,Concentrating,0.042,0.67,0.352,0.029
400,Frustrated,0.238,0.469,0.422,0.164
401,Concentrating,0.02,0.929,0.068,0.011
402,Confused,0.065,0.931,0.029,0.04
403,Bored,0.44,0.164,0.661,0.22
404,Concentrating,0.313,0.439,0.458,0.111
405,Concentrating,0.007,0.979,0.019,0.005
406,Bored,0.197,0.391,0.562,0.113
407,Bored,0.389,0.269,0.392,0.488
408,Concentrating,0.008,0.976,0.02,0.008
409,Concentrating,0.043,0.945,0.029,0.03
410,Concentrating,0.013,0.978,0.017,0.007
411,Concentrating,0.003,0.995,0.003,0.001
412,Bored,0.145,0.392,0.555,0.157
413,Concentrating,0.264,0.613,0.278,0.105
414,Concentrating,0.024,0.729,0.297,0.016
415,Concentrating,0.192,0.832,0.048,0.111
416,Confused,0.449,0.485,0.274,0.23
417,Concentrating,0.01,0.981,0.016,0.005
418,Concentrating,0.004,0.995,0.003,0.002
419,Concentrating,0.01,0.992,0.003,0.003
420,Concentrating,0.034,0.924,0.06,0.025
421,Concentrating,0.019,0.981,0.008,0.009
422,Concentrating,0.087,0.864,0.092,0.05
423,Concentrating,0.103,0.918,0.02,0.053
424,Concentrating,0.007,0.994,0.002,0.003
425,Concentrating,0.161,0.607,0.339,0.087
426,Bored,0.215,0.249,0.695,0.155
427,Concentrating,0.071,0.931,0.023,0.047
428,Concentrating,0.102,0.917,0.016,0.061
429,Concentrating,0.023,0.978,0.009,0.012
430,Concentrating,0.019,0.909,0.089,0.017
431,Confused,0.247,0.341,0.562,0.172
432,Concentrating,0.004,0.993,0.005,0.003
433,Concentrating,0.02,0.923,0.073,0.015
434,Frustrated,0.303,0.594,0.219,0.212
435,Concentrating,0.006,0.988,0.008,0.005
436,Concentrating,0.059,0.877,0.088,0.05
437,Concentrating,0.096,0.889,0.049,0.067
438,Concentrating,0.062,0.931,0.031,0.039
439,Concentrating,0.355,0.539,0.25,0.229
440,Concentrating,0.117,0.802,0.161,0.038
441,Bored,0.068,0.642,0.367,0.041
442,Frustrated,0.584,0.392,0.224,0.396
443,Frustrated,0.495,0.042,0.451,0.75
444,Concentrating,0.007,0.984,0.011,0.006
445,Concentrating,0.088,0.897,0.049,0.058
446,Concentrating,0.015,0.955,0.041,0.009
447,Concentrating,0.023,0.87,0.128,0.024
448,Concentrating,0.024,0.965,0.02,0.018
449,Confused,0.633,0.538,0.062,0.347
450,Concentrating,0.034,0.932,0.055,0.018
451,Concentrating,0.002,0.996,0.002,0.002
452,Concentrating,0.01,0.942,0.06,0.005
453,Bored,0.034,0.822,0.182,0.02
454,Concentrating,0.251,0.708,0.143,0.152
455,Concentrating,0.1,0.786,0.167,0.068
456,Frustrated,0.329,0.359,0.348,0.43
457,Concentrating,0.077,0.563,0.449,0.052
458,Bored,0.257,0.327,0.598,0.136
459,Concentrating,0.028,0.784,0.23,0.018
460,Concentrating,0.2,0.321,0.644,0.111
461,Concentrating,0.109,0.783,0.176,0.052
462,Concentrating,0.16,0.089,0.949,0.085
463,Concentrating,0.139,0.717,0.22,0.087
464,Bored,0.16,0.674,0.259,0.09
465,Concentrating,0.127,0.825,0.065,0.14
466,Concentrating,0.01,0.977,0.018,0.008
467,Concentrating,0.038,0.904,0.087,0.016
468,Concentrating,0.14,0.794,0.127,0.089
469,Concentrating,0.047,0.684,0.335,0.025
470,Bored,0.056,0.474,0.574,0.031
471,Concentrating,0.167,0.759,0.124,0.144
472,Concentrating,0.015,0.984,0.005,0.012
473,Concentrating,0.273,0.628,0.204,0.19
474,Frustrated,0.197,0.621,0.273,0.143
475,Concentrating,0.206,0.681,0.211,0.126
476,Concentrating,0.005,0.995,0.002,0.003
477,Concentrating,0.082,0.508,0.515,0.044
478,Concentrating,0.344,0.657,0.13,0.207
479,Concentrating,0.111,0.791,0.159,0.064
480,Concentrating,0.041,0.807,0.191,0.029
481,Concentrating,0.036,0.928,0.058,0.019
482,Concentrating,0.065,0.797,0.178,0.054
483,Concentrating,0.024,0.981,0.005,0.013
484,Concentrating,0.202,0.801,0.065,0.135
485,Concentrating,0.005,0.974,0.027,0.002
486,Bored,0.229,0.666,0.199,0.157
487,Bored,0.182,0.455,0.484,0.128
488,Concentrating,0.012,0.982,0.01,0.009
489,Concentrating,0.006,0.993,0.004,0.003
490,Concentrating,0.019,0.965,0.026,0.012
491,Concentrating,0.008,0.991,0.004,0.004
492,Concentrating,0.005,0.995,0.002,0.003
493,Concentrating,0.003,0.998,0.001,0.002
494,Concentrating,0.104,0.809,0.148,0.052
495,Concentrating,0.068,0.546,0.472,0.052
496,Concentrating,0.021,0.945,0.043,0.02
497,Concentrating,0.054,0.939,0.031,0.029
498,Concentrating,0.002,0.991,0.008,0.001
499,Concentrating,0.017,0.986,0.004,0.009
500,Concentrating,0.073,0.931,0.016,0.055
501,Concentrating,0.435,0.431,0.172,0.504
502,Bored,0.099,0.474,0.536,0.064
503,Concentrating,0.338,0.394,0.472,0.157
504,Concentrating,0.123,0.861,0.083,0.047
505,Concentrating,0.003,0.997,0.001,0.001
506,Confused,0.112,0.69,0.281,0.059
507,Concentrating,0.044,0.856,0.136,0.023
508,Concentrating,0.125,0.714,0.244,0.062
509,Concentrating,0.026,0.951,0.037,0.015
510,Concentrating,0.048,0.649,0.372,0.03
511,Concentrating,0.006,0.982,0.017,0.004
512,Concentrating,0.004,0.995,0.003,0.002
513,Concentrating,0.157,0.639,0.317,0.066
514,Concentrating,0.008,0.989,0.007,0.004
515,Bored,0.055,0.329,0.74,0.038
516,Concentrating,0.075,0.785,0.197,0.038
517,Concentrating,0.09,0.897,0.05,0.054
518,Concentrating,0.006,0.981,0.017,0.004
519,Concentrating,0.031,0.645,0.389,0.023
520,Concentrating,0.01,0.989,0.005,0.006
521,Concentrating,0.005,0.978,0.02,0.005
522,Concentrating,0.089,0.687,0.3,0.049
523,Concentrating,0.027,0.871,0.129,0.018
524,Concentrating,0.006,0.986,0.012,0.004
525,Concentrating,0.001,0.998,0.001,0.001
526,Concentrating,0.014,0.973,0.021,0.008
527,Concentrating,0.024,0.959,0.03,0.013
528,Concentrating,0.072,0.924,0.037,0.036
529,Concentrating,0.009,0.975,0.022,0.007
530,Concentrating,0.001,0.998,0.002,0.001
531,Concentrating,0.021,0.965,0.024,0.014
532,Concentrating,0.004,0.99,0.009,0.003
533,Concentrating,0.089,0.668,0.317,0.057
534,Concentrating,0.029,0.734,0.286,0.023
535,Concentrating,0.19,0.797,0.068,0.146
536,Concentrating,0.004,0.99,0.009,0.002
537,Concentrating,0.031,0.946,0.037,0.022
538,Concentrating,0.029,0.588,0.459,0.018
539,Concentrating,0.179,0.587,0.332,0.125
540,Concentrating,0.279,0.605,0.258,0.143
541,Concentrating,0.004,0.995,0.003,0.002
542,Concentrating,0.007,0.991,0.006,0.003
543,Bored,0.192,0.463,0.467,0.133
544,Concentrating,0.099,0.913,0.027,0.053
545,Concentrating,0.129,0.791,0.148,0.07
546,Concentrating,0.021,0.896,0.107,0.01
547,Frustrated,0.221,0.616,0.161,0.318
548,Concentrating,0.015,0.97,0.023,0.009
549,Confused,0.205,0.665,0.259,0.077
550,Bored,0.266,0.207,0.689,0.208
